"","Cazy_Function","12-FULL-67-14b","20CM-2-65-7","20CM-4-69-9 Family","40CM-4-68-19 Family","Achromobacter","Arthrobacter_F","AV55","Bosea","Brevundimonas","Burkholderiaceae Family","Candidimonas","Chitinophagaceae Family","Chthoniobacteraceae Family","Crocinitomicaceae Family","Cryobacterium_A","Devosia","Dokdonella","FEN-1219","Flavisolibacter_B","Flavobacterium","Flavobacterium_A","Gemmatimonadaceae Family","Gemmatimonadetes Class","Gemmatirosa","Gp7-AA6 Family","GR16-43","Haliangiaceae Family","Hydrogenophaga","Hymenobacteraceae Family","Luteimonas","Lysobacter","Massilia","Micromonosporaceae Family","Myroides","Nakamurella","Nitrososphaeraceae Family","Nitrosospira","Nitrospiraceae Family","Nitrospirales Order","Nocardioides","Nonomuraea","Paenibacillaceae Family","PALSA-1003","Palsa-1005 Family","Palsa-1315","Palsa-955","Pedobacter","Pedobacter_A","Phenylobacterium","Plantactinospora_A","Pontibacter","Pseudaminobacter","Pseudolabrys","Pseudomonas_E","RSA9 Family","RSA9 Order","Simplicispira_B","Sphingobacteriaceae Family","Sphingobacterium","Sphingobium","Sphingomonas_A","Sphingomonas_F","Sphningosinicella","Stenotrophomonas","Steroidobacter","Streptomyces","Tardiphaga","UBA4665 Family","UBA5005","Vulgatibacter","Vulgatibacteraceae Family"
"11","CAZy..Mixed.Linkage.glucans","1","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","0","1","1","0","1","0","1"
"12","CAZy..Pectin","1","1","1","0","0","1","0","0","1","0","1","1","1","0","1","1","0","0","1","1","0","1","1","0","0","1","0","0","0","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","1","0","0"
"13","CAZy..Polyphenolics","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1"
"14","CAZy..Rhamnose.cleavage","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0"
"15","CAZy..Starch","0","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1","0","1","0","1","0","0","0","1","0","1","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","0","1","1","1","0","0","0","1","1"
"16","CAZy..Sulf.Polysachharides","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"17","CAZy..Xylans","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","0","0","1","1","0","0","0","0","0","1","0","1","0","1","0","0","1","1","1","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1","0","0","1","0","1"
"18","CAZy..Xyloglucan","1","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","1","1","0","1","1","1","1","0","1","0","0","1","1","1","1","0","0","0","0","1","0","0","1","0","0"
"19","Methanogenesis.and.methanotrophy..acetate....methane..pt.1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"20","Methanogenesis.and.methanotrophy..acetate....methane..pt.2","0","0","0","1","1","0","0","1","0","1","1","0","0","0","1","1","1","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","1","0","1","0","0","1","0","0","0","1","1","1","0","0","0","0"
"21","Methanogenesis.and.methanotrophy..acetate....methane..pt.3","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0"
"22","Methanogenesis.and.methanotrophy..methane....methanol..with.oxygen..pmo.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Methanogenesis.and.methanotrophy..putative.but.not.defining.CO2....methane","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Methanogenesis.and.methanotrophy..trimethylamine....dimethylamine","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
"25","Nitrogen.metabolism..Bacterial..aerobic.specific..ammonia.oxidation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"26","Nitrogen.metabolism..Bacterial.Archaeal.ammonia.oxidation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Nitrogen.metabolism..Dissimilatory.nitrite.reduction.to.ammonia..DNRA.","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"28","Nitrogen.metabolism..nitrate....nitrite","0","0","1","0","1","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","1","1","0","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0"
"29","Nitrogen.metabolism..nitric.oxide....nitrous.oxide","0","1","0","0","1","0","1","1","0","1","1","0","0","0","0","1","0","0","0","1","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","1","1","0","1","0","0","0","1"
"30","Nitrogen.metabolism..nitrite....nitrate","0","0","1","0","1","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","1","1","1","0","1","0","0","0","0","0"
"31","Nitrogen.metabolism..nitrite....nitric.oxide","1","1","1","0","1","0","0","1","0","1","1","0","1","0","0","1","1","1","0","0","0","1","1","1","0","1","1","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","0","0","1","1","1","1","0","1","1","0","1","0","1","1","0","0","1","1","0","0","1","1"
"32","Nitrogen.metabolism..nitrous.oxide....nitrogen","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Other.Reductases..arsenate.reduction..pt.1","0","0","0","1","1","0","0","1","1","1","1","0","0","1","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"34","SCFA.and.alcohol.conversions..Alcohol.production","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","0","1","1","1","0","0","0","1","1","1","1","1","1","0","1","1","1","0","0","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"35","SCFA.and.alcohol.conversions..Propionate..pt.2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"36","SCFA.and.alcohol.conversions..acetate..pt.1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0"
"37","SCFA.and.alcohol.conversions..acetate..pt.2","0","0","0","1","1","0","0","1","0","1","1","0","0","0","1","1","1","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","1","0","1","0","0","1","0","0","0","1","1","1","0","0","0","0"
"38","SCFA.and.alcohol.conversions..lactate.D","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","0","1","1","1","1","1","1","0","0","1","0","0","0","0","1"
"39","SCFA.and.alcohol.conversions..lactate.L","0","0","1","0","1","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"40","SCFA.and.alcohol.conversions..pyruvate....acetyl.CoA.v1","1","0","1","1","1","1","0","1","0","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","1","0","0","1","1","0","1","1","0","0","0","0","1","1","0","1","1","1","0","0","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0"
"41","SCFA.and.alcohol.conversions..pyruvate....acetyl.CoA.v2","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","1","1","0","1","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","1","1","0","1","1","0","0","0","1","1"
"42","SCFA.and.alcohol.conversions..pyruvate....acetylCoA.f..formate.v3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"43","Sulfur.metabolism..Thiosulfate.oxidation.by.SOX.complex..thiosulfate....sulfate","1","0","0","1","0","0","0","1","0","1","1","1","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1"
"44","Sulfur.metabolism..tetrathionate....thiosulfate","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
